Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
258,Trevor Keels,SG,19,NYK,3,0,2.7,0.3,1.3,.250,0.3,1.3,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0,keelstr01
259,Luke Kennard,SG,26,TOT,55,12,21.6,3.0,6.3,.485,2.1,4.3,.489,0.9,2.0,.477,.653,0.6,0.7,.946,0.2,2.3,2.5,1.5,0.5,0.1,0.8,1.4,8.8,kennalu01
260,Walker Kessler,C,21,UTA,72,38,22.9,4.0,5.5,.720,0.0,0.0,.500,3.9,5.5,.721,.721,1.1,2.2,.522,3.1,5.3,8.4,0.9,0.4,2.4,0.8,2.3,9.1,kesslwa01
261,Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,keybr01
262,Corey Kispert,SF,23,WAS,68,39,28.1,3.7,7.4,.495,2.1,4.9,.423,1.6,2.6,.632,.634,0.9,1.1,.851,0.4,2.3,2.8,1.2,0.5,0.1,0.8,1.3,10.3,kispeco01
263,Maxi Kleber,C,31,DAL,34,5,25.9,2.1,4.6,.456,1.1,3.1,.352,1.0,1.6,.660,.573,0.8,1.1,.703,0.9,2.9,3.7,1.3,0.3,0.9,0.7,2.4,6.1,klebima01
264,Nathan Knight,PF,25,MIN,36,0,7.9,1.2,2.2,.564,0.2,0.6,.364,1.0,1.6,.643,.615,1.1,1.5,.691,0.6,0.9,1.5,0.4,0.3,0.2,0.5,1.0,3.7,knighna01
265,Kevin Knox,PF-SF,23,TOT,57,2,13.6,2.0,4.4,.462,0.9,2.6,.342,1.1,1.8,.637,.564,0.5,0.7,.816,0.5,2.1,2.6,0.4,0.3,0.2,0.7,1.6,5.5,knoxke01
266,Christian Koloko,C,22,TOR,52,19,14.1,1.2,2.6,.463,0.0,0.2,.100,1.2,2.4,.492,.467,0.7,1.1,.655,1.5,1.6,3.0,0.5,0.4,1.1,0.3,2.3,3.1,kolokch01
267,John Konchar,SG,26,MEM,67,22,20.8,1.9,4.4,.423,0.9,2.5,.347,1.0,1.9,.523,.522,0.4,0.5,.800,0.8,3.4,4.2,1.3,1.0,0.3,0.5,1.6,5.1,konchjo01
268,Furkan Korkmaz,SG,25,PHI,33,0,8.9,1.2,2.8,.440,0.4,1.1,.351,0.8,1.6,.500,.511,0.7,1.0,.706,0.2,0.8,1.0,0.6,0.2,0.1,0.6,0.4,3.5,korkmfu01
269,Luke Kornet,C,27,BOS,63,0,11.4,1.7,2.4,.693,0.0,0.2,.273,1.6,2.2,.727,.703,0.5,0.6,.811,1.3,1.5,2.8,0.7,0.2,0.7,0.4,1.2,3.8,kornelu01
